date,title,url,afinn
12102018,Partier i rød blok vrager S-udspil om tvang af unge læger,/nyheder/politik/partier-i-roed-blok-vrager-s-udspil-om-tvang-af-unge-laeger,-1.0
12102018,Støjberg forlænger igen den midlertidige grænsekontrol,/nyheder/politik/stoejberg-forlaenger-igen-den-midlertidige-graensekontrol,0.0
12102018,Sundhedsministeren anklager S for at komme med 'hovsaløsninger',/nyheder/politik/sundhedsministeren-anklager-s-komme-med-hovsaloesninger,0.0
11102018,Klimaminister efter klimaudspil: Plan for landbruget mangler,/nyheder/politik/klimaminister-efter-klimaudspil-plan-landbruget-mangler,-2.0
11102018,Socialdemokratiet vil tvinge nyuddannede til at være praktiserende læger,/nyheder/politik/socialdemokratiet-vil-tvinge-nyuddannede-til-vaere-praktiserende-laeger,0.0
11102018,SF kræver svar fra Løhde om Danske Bank-kontrakt: 'Vi er til grin for vores egne penge',/nyheder/politik/sf-kraever-svar-fra-loehde-om-danske-bank-kontrakt-vi-er-til-grin-vores-egne-penge,0.0
11102018,Sophie Løhde om millionkontrakt til Danske Bank: 'Min opgave er ikke at dømme',/nyheder/politik/sophie-loehde-om-millionkontrakt-til-danske-bank-min-opgave-er-ikke-doemme,0.0
11102018,Danske Bank vinder millionkontrakt med staten,/nyheder/politik/danske-bank-vinder-millionkontrakt-med-staten,3.0
10102018,Statsrevisorer udtaler kraftig kritik af fiskeritilskud,/nyheder/politik/statsrevisorer-udtaler-kraftig-kritik-af-fiskeritilskud,-2.0
10102018,DF's Henrik Thorup er ny formand for Statsrevisorerne,/nyheder/politik/dfs-henrik-thorup-er-ny-formand-statsrevisorerne,0.0
10102018,Elbilister siger nej tak til at køre i busbanen: Det vil bare skabe dårlig stemning,/nyheder/politik/elbilister-siger-nej-tak-til-koere-i-busbanen-det-vil-bare-skabe-daarlig-stemning,-2.0
09102018,"Oppositionspartier om ny klimaplan: Regeringen svigter, når det kommer til landbruget ",/nyheder/politik/oppositionspartier-om-ny-klimaplan-regeringen-svigter-naar-det-kommer-til-landbruget,-1.0
09102018,Løkke om klimaplan: Vi skal kunne give Jorden videre til vores børn og børnebørn,/nyheder/politik/loekke-om-klimaplan-vi-skal-kunne-give-jorden-videre-til-vores-boern-og-boerneboern,0.0
09102018,ANALYSE Regeringen på listefødder om landbruget,/nyheder/politik/politiske-analyser/analyse-regeringen-paa-listefoedder-om-landbruget,0.0
09102018,Regeringen vil tvinge nye boligejere til at skrotte gamle brændeovne,/nyheder/politik/regeringen-vil-tvinge-nye-boligejere-til-skrotte-gamle-braendeovne,0.0
08102018,'Positivt' - 'nej alt for dyrt': Billigere elbiler splitter S og DF,/nyheder/politik/positivt-nej-alt-dyrt-billigere-elbiler-splitter-s-og-df,4.0
08102018,Rapport: Fiskere fik penge i strid med loven i 'meget kritisabel' forvaltning,/nyheder/politik/rapport-fiskere-fik-penge-i-strid-med-loven-i-meget-kritisabel-forvaltning,-2.0
08102018,Regeringen vil give fordele til grønne biler: Kørsel i busbanen og rabat på parkering,/nyheder/politik/regeringen-vil-give-fordele-til-groenne-biler-koersel-i-busbanen-og-rabat-paa,2.0
08102018,Billigere elbiler på vej: Regeringen vil sænke afgifter på grønne biler,/nyheder/politik/billigere-elbiler-paa-vej-regeringen-vil-saenke-afgifter-paa-groenne-biler,-1.0
08102018,Undersøgelse: Drikkevandet er ikke forurenet af mikroplast ,/nyheder/politik/undersogelse-drikkevandet-er-ikke-forurenet-af-mikroplast,-2.0
08102018,Supermarkeder og storbyer skal i spil: Det ved vi om regeringens klimaplan,/nyheder/politik/supermarkeder-og-storbyer-skal-i-spil-det-ved-vi-om-regeringens-klimaplan,0.0
08102018,Pape i nyt udspil: Alle landets politikredse får mobile politistationer,/nyheder/politik/pape-i-nyt-udspil-alle-landets-politikredse-faar-mobile-politistationer,0.0
08102018,LIVE Justitsministeren præsenterer politi-udspil,/nyheder/politik/live-justitsministeren-praesenterer-politi-udspil,0.0
07102018,"Nyt mærkat skal vise, hvor dyr din bøf er for klimaet",/nyheder/politik/nyt-maerkat-skal-vise-hvor-dyr-din-bof-er-klimaet,0.0
07102018,Bestil din egen betjent med et klik: Pape klar med plan for nærpoliti,/nyheder/politik/bestil-din-egen-betjent-med-et-klik-pape-klar-med-plan-naerpoliti,1.0
06102018,Jan ser frem til ny hovedlov: Jeg er blevet kastet rundt i systemet,/nyheder/politik/jan-ser-frem-til-ny-hovedlov-jeg-er-blevet-kastet-rundt-i-systemet,0.0
06102018,Regeringen vil give udsatte borgere én udredning og én helhedsplan,/nyheder/politik/regeringen-vil-give-udsatte-borgere-en-udredning-og-en-helhedsplan,-2.0
05102018,"ANALYSE: Ministre, der ikke vil kæmpe, svækker Løkke",/nyheder/politik/politiske-analyser/analyse-ministre-der-ikke-vil-kaempe-svaekker-loekke,-1.0
05102018,'Fantastisk dag for hovedstaden': Politikere roser nyt gigaprojekt i København,/nyheder/politik/fantastisk-dag-hovedstaden-politikere-roser-nyt-gigaprojekt-i-koebenhavn,7.0
05102018,Kunstig ø i København: Bilister skal betale vejafgifter i ny havnetunnel ,/nyheder/politik/kunstig-oe-i-koebenhavn-bilister-skal-betale-vejafgifter-i-ny-havnetunnel,-1.0
05102018,Endnu en LA-profil siger stop: Minister Merete Riisager genopstiller ikke til næste valg,/nyheder/politik/endnu-en-la-profil-siger-stop-minister-merete-riisager-genopstiller-ikke-til-naeste,0.0
05102018,OVERBLIK Regeringen vil bygge ø i Øresund: Det ved vi om milliardprojektet,/nyheder/politik/overblik-regeringen-vil-bygge-oe-i-oeresund-det-ved-vi-om-milliardprojektet,0.0
05102018,Løkke afslører gigaprojekt: Der skal bygges en ny ø i København med plads til 35.000 beboere,/nyheder/politik/loekke-afsloerer-gigaprojekt-der-skal-bygges-en-ny-oe-i-koebenhavn-med-plads-til,-2.0
05102018,SF vil i regering: Vi skal ud af den fastlåste situation i rød blok,/nyheder/politik/sf-vil-i-regering-vi-skal-ud-af-den-fastlaaste-situation-i-roed-blok,-1.0
05102018,Amnesty: Ved lov om samtykke ændrer bevisbyrden sig ikke ,/nyheder/politik/amnesty-ved-lov-om-samtykke-aendrer-bevisbyrden-sig-ikke,2.0
05102018,DF-formand åbner for at lade flygtninge arbejde i Danmark,/nyheder/politik/df-formand-abner-lade-flygtninge-arbejde-i-danmark,0.0
04102018,Justitsministeren er klar til at overveje samtykke i voldtægtssager,/nyheder/politik/justitsministeren-er-klar-til-overveje-samtykke-i-voldtaegtssager,3.0
04102018,"Stupide statsministerdrømme, skovsnegle og en brasiliansk svejser: Ni nedslag i Folketingets åbningsdebat",/nyheder/politik/stupide-statsministerdroemme-skovsnegle-og-en-brasiliansk-svejser-ni-nedslag-i,0.0
04102018,Jakob Ellemann: Mit svar til veganer var dumsmart - men jeg elsker bacon,/nyheder/politik/jakob-ellemann-mit-svar-til-veganer-var-dumsmart-men-jeg-elsker-bacon,0.0
04102018,20 kommuner vil sagsøge staten for fejl i udligning,/nyheder/politik/20-kommuner-vil-sagsoge-staten-fejl-i-udligning,-4.0
04102018,Midt i alvoren: Politikere bryder ud i latter under åbningsdebat,/nyheder/politik/midt-i-alvoren-politikere-bryder-ud-i-latter-under-aabningsdebat,0.0
04102018,Kommuner om kompensation fra regeringen: 'Det er en lappeløsning',/nyheder/politik/kommuner-om-kompensation-fra-regeringen-det-er-en-lappeloesning,0.0
04102018,Politikere om indsamlinger: Facebook har et meget stort ansvar,/nyheder/politik/politikere-om-indsamlinger-facebook-har-et-meget-stort-ansvar,0.0
